band,post_len,mean,median,lower,upper
Treated_Core,12,34.297561,34.315819,32.46180265,36.05855837
Treated_Band_5km,12,-2.423511809,-2.4208718,-4.258421826,-0.614218857
Treated_Band_10km,12,-0.501390395,-0.519504386,-2.393111886,1.471006626
Treated_Band_15km,12,-1.134361476,-1.127394111,-2.907291172,0.651589697
Treated_Band_20km,12,3.285551822,3.298427142,1.424293625,5.100484856
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
band,Treated_Core,Treated_Band_5km,Treated_Band_10km,Treated_Band_15km,Treated_Band_20km
post_len,12,12,12,12,12
mean,34.297561,-2.423511809,-0.501390395,-1.134361476,3.285551822
median,34.316,-2.421,-0.520,-1.127,3.298
lower,32.462,-4.258,-2.393,-2.907,1.424
upper,36.059,-0.614,1.471,0.652,5.100